platform,sheet,row,store_name,internal_id,address,map_url,phone,hours,days,platform_id,status,action
google,google map,11,,Лавка Food city,,,,07:00-19:00,Ежедневно,,ждём информацию: не найдено в нашем Google Business,create_request
google,google map,12,,Лавка Авиасозлар,,,,08:00-20:00,Ежедневно,,already covered by managed Google profile,create_request
google,google map,13,,Лавка Янги Хаёт,,,,08:00-20:00,Ежедневно,,ждём информацию: не найдено в нашем Google Business,create_request
google,google map,14,,Лавка Панельный,,,,08:00-22:00,Ежедневно,,ждём информацию: не найдено в нашем Google Business,create_request
google,google map,15,Сырная Лавка,Лавка Аския,"Near yakkasaroy street, Tashkent",https://business.google.com/n/2036140660410611774/profile?fid=12242063773800875924,+998 78 555 15 15,08:00-20:00,Ежедневно,fid:12242063773800875924,есть в Google (Verified),create_request
google,google map,16,,Лавка Учтепа,,,,07:00-19:00,Ежедневно,,ждём информацию: не найдено в нашем Google Business,create_request
google,google map,17,,Лавка Юнусабад,,,,08:00-20:00,Ежедневно,,ждём информацию: не найдено в нашем Google Business,create_request
google,google map,18,,Лавка Ялангач,,,,08:00-19:00,Ежедневно,,ждём информацию: не найдено в нашем Google Business,create_request
google,google map,19,,Лавка Газалкент,,,,08:00-19:00,Ежедневно,,ждём информацию: не найдено в нашем Google Business,create_request
google,google map,21,,Лавка Метро Чиланзар,,,,08:00-20:00,Ежедневно,,ждём информацию: не найдено в нашем Google Business,create_request
google,google map,22,,Лавка ЭКО,,,,08:00-21:00,Ежедневно,,ждём информацию: не найдено в нашем Google Business,create_request
google,google map,23,,Лавка Чилонзор 21,,,,08:00-22:00,Ежедневно,,ждём информацию: не найдено в нашем Google Business,create_request
google,google map,24,,Лавка Сайрам,,,,08:00-22:00,Ежедневно,,ждём информацию: не найдено в нашем Google Business,create_request
google,google map,26,,Лавка Чирчик,,,,08:00-19:00,Ежедневно,,ждём информацию: не найдено в нашем Google Business,create_request
google,google map,27,,Лавка Корасув,,,,08:00-22:00,Ежедневно,,ждём информацию: не найдено в нашем Google Business,create_request
google,google map,29,,Лавка Навруз,,,,08:00-21:00,Ежедневно,,ждём информацию: не найдено в нашем Google Business,create_request
google,google map,30,,Лавка Цум,,,,08:00-22:00,Ежедневно,,ждём информацию: не найдено в нашем Google Business,create_request
google,google map,31,,Лавка Янгиюль,,,,08:00-20:00,Ежедневно,,ждём информацию: не найдено в нашем Google Business,create_request
google,google map,32,,Лавка Фергана,,,,07:00-19:00,Ежедневно,,ждём информацию: не найдено в нашем Google Business,create_request
google,google map,33,,Урикзор,,,,07:00-18:00,Ежедневно,,ждём информацию (RUBA),create_request
google,google map,34,,Сергели оптом,,,,08:00-18:00,Ежедневно,,ждём информацию (RUBA),create_request
google,google map,35,,Бухара,,,,08:00-18:00,Ежедневно,,ждём информацию (RUBA),create_request
